arabic_name,english_name,source,original_arabic,original_english,arabic_normalized,english_cleaned,arabic_length,english_length
الاشراف,Al-Ashraf,split,القطين - الاشراف,AL-Qateen - Al-Ashraf,الاشراف,Al-Ashraf,7,9
حنه العليا,Hannah Al-Ulya,split,حنه العليا - الحضاره,Hannah Al-Ulya - Al-Hadara,حنه العليا,Hannah Al-Ulya,10,14
المزانده,Al-Mazanda,split,المزانده - المحالب,Al-Mazanda - Al-Mahalib,المزانده,Al-Mazanda,8,10
قبنه,Qubnah,split,الطفيلي - قبنه,Al-Tufayli - Qubnah,قبنه,Qubnah,4,6
القماريه,Al-Qamariya,split,جسر رسيان - القماريه,Rasian Bridge - Al-Qamariya,القماريه,Al-Qamariya,8,11
الازيود,Al-Azyoud,split,الازيود - الحدقة,Al-Azyoud - Al-Hadqa,الازيود,Al-Azyoud,7,9
العارضه,Al-'Ardah,split,وادي المعقم - العارضه,Wadi Al-Mu'aqam - Al-'Ardah,العارضه,Al-'Ardah,7,9
الصـويره - الهجمة,Al-Sawerah-Al-Hajmah,original,,,الصويره - الهجمة,Al-Sawerah-Al-Hajmah,16,20
بني دريغم,Bani Drigham,split,بني دريغم - الرجمه,Bani Drigham - Al-Rajma,بني دريغم,Bani Drigham,9,12
القوز,Al-Qawz,split,الزغبري - القوز,Al-Zaghbari - Al-Qawz,القوز,Al-Qawz,5,7
الغريف,Al-Gharif,split,الغريف - طرة الجعيره,Al-Gharif - Tarrah Al-Ja'irah,الغريف,Al-Gharif,6,9
ماغرة,Magharah,split,حاضيه - ماغرة,Hadhiyah - Magharah,ماغرة,Magharah,5,8
العفيرة,Al-Afira,split,العفيرة - المدافن,Al-Afira - Al-Madafin,العفيرة,Al-Afira,7,8
حصيب الحائط,Hasib Al-Ha'it,split,حصيب القوبه - حصيب الحائط,Hasib Al-Qubbah - Hasib Al-Ha'it,حصيب الحايط,Hasib Al-Ha'it,11,14
الادروس,Al-Adrus,split,الادروس - خباثه,Al-Adrus - Khabathah,الادروس,Al-Adrus,7,8
المقروضي,Al-Maqrudhi,split,القشعه - المقروضي,Al-Qash'ah - Al-Maqrudhi,المقروضي,Al-Maqrudhi,8,11
الازيود,Al-Azyoud,split,الازيود - العشروقة,Al-Azyoud - Al-'Ashruka,الازيود,Al-Azyoud,7,9
السيف,Al-Saif,split,الزغبري - السيف,Al-Zaghbari - Al-Saif,السيف,Al-Saif,5,7
المعطابه السفلى,Al-Ma'tabah Al-Sufla,split,وادي مكسب - المعطابه السفلى,Wadi Makasab - Al-Ma'tabah Al-Sufla,المعطابه السفلى,Al-Ma'tabah Al-Sufla,15,20
القاشميه,Al-Qashmiya,split,الشقيراء - القاشميه,Al-Shaqira' - Al-Qashmiya,القاشميه,Al-Qashmiya,8,11
الحرز,Al-Harz,split,موزع - الحرز,Mawza' - Al-Harz,الحرز,Al-Harz,5,7
جعاشي,Ja'ashi,split,جعاشي - المزرعة,Ja'ashi - Al-Mazra'a,جعاشي,Ja'ashi,5,7
الدماهيه,Al-Damahiyyah,split,الطوير - الدماهيه,Al-Tuwair - Al-Damahiyyah,الدماهيه,Al-Damahiyyah,8,13
الغله,Al-Ghalah,split,الهاملي - الغله,Al-Hamli - Al-Ghalah,الغله,Al-Ghalah,5,9
واحجه,Wahjah,split,واحجه - الحدبه,Wahjah - Al-Hadbah,واحجه,Wahjah,5,6
اليمنة,Al-Yamana,split,الغرافي - اليمنة,Al-Gharrafi - Al-Yamana,اليمنة,Al-Yamana,6,9
الكيمه,Al-Kima,split,الوحيز - الكيمه,Al-Wahiz - Al-Kima,الكيمه,Al-Kima,6,7
مبتعه,Mubta'a,split,مبتعه - المنقاعه,Mubta'a - Al-Manqa'a,مبتعه,Mubta'a,5,7
النشيفه,An-Nashifa,split,النشيفه - الجوف,An-Nashifa - Al-Jawf,النشيفه,An-Nashifa,7,10
الجوني,Al-Jawni,split,العقمه - الجوني,Al-Aqmah - Al-Jawni,الجوني,Al-Jawni,6,8
العرينه,Al-Arina,original,,,العرينه,Al-Arina,7,8
الجاهلي,Al-Jahili,split,الاتيمه - الجاهلي,Al-Atima - Al-Jahili,الجاهلي,Al-Jahili,7,9
شعب الاشول,Sha'b al-Ashwal,split,بني عامر - شعب الاشول,Bani Amer - Sha'b al-Ashwal,شعب الاشول,Sha'b al-Ashwal,10,15
الزهيب,Al-Zuhayb,split,الطوير - الزهيب,Al-Tuwair - Al-Zuhayb,الزهيب,Al-Zuhayb,6,9
نوبة عامر,Nawbat Amer,split,نوبة عامر - المراوشة,Nawbat Amer - Al-Marawsha,نوبة عامر,Nawbat Amer,9,11
الجبيل,Al-Jubayl,split,الهاملي - الجبيل,Al-Hamli - Al-Jubayl,الجبيل,Al-Jubayl,6,9
شعبه المعلامه,Sha'bat Al-Ma'alamah,split,الضيجه - شعبه المعلامه,Al-Dhayjah - Sha'bat Al-Ma'alamah,شعبه المعلامه,Sha'bat Al-Ma'alamah,13,20
الكديحة,Al-Kadiha,split,الكديحة - الجديدة,Al-Kadiha - Al-Jadidah,الكديحة,Al-Kadiha,7,9
الحد,Al-Had,split,الحد - الهيجه,Al-Had - Al-Hayjah,الحد,Al-Had,4,6
الموسنه,Al-Musinah,split,الموسنه - القطيعه,Al-Musinah - Al-Qati'ah,الموسنه,Al-Musinah,7,10
الكباب,Al-Kabab,split,جبل الحكيمه - الكباب,Jabal Al-Hakimah - Al-Kabab,الكباب,Al-Kabab,6,8
الدار,Al-Dar,split,الشقيراء - الدار,Al-Shuqayra - Al-Dar,الدار,Al-Dar,5,6
وادي مكسب,Wadi Makasab,split,وادي مكسب - المعاصر,Wadi Makasab - Al-Ma'asir,وادي مكسب,Wadi Makasab,9,12
السبله,Al-Sabla,split,الزغبري - السبله,Al-Zaghbari - Al-Sabla,السبله,Al-Sabla,6,8
بني علي,Bani Ali,split,بني علي - الدول,Bani Ali - Al-Dawl,بني علي,Bani Ali,7,8
الصنمه,Al-Sunmah,split,الصنمه - عزان,Al-Sunmah - 'Azan,الصنمه,Al-Sunmah,6,9
الصـويره - المربعه,Al-Sawerah-Al Murbah,original,,,الصويره - المربعه,Al-Sawerah-Al Murbah,17,20
بني عامر,Bani Amer,split,بني عامر - المشراح,Bani Amer - Al-Mashrah,بني عامر,Bani Amer,8,9
المقشع,Al-Muqsha',split,مقدم راس - المقشع,Muqaddam Ras - Al-Muqsha',المقشع,Al-Muqsha',6,10
الغله,Al-Ghalah,split,العقمه - الغله,Al-Aqmah - Al-Ghalah,الغله,Al-Ghalah,5,9
العجند,Al-'Ajand,split,شعبو - العجند,Sha'bu - Al-'Ajand,العجند,Al-'Ajand,6,9
الرهيطه السفلى,Al-Rahitah Al-Sufla,split,الشقيراء - الرهيطه السفلى,Al-Shuqayra - Al-Rahitah Al-Sufla,الرهيطه السفلى,Al-Rahitah Al-Sufla,14,19
السويداء,Al-Suwayda',split,السويداء - النوبه,Al-Suwayda' - Al-Nawbah,السويداء,Al-Suwayda',8,11
الجراده,Al-Jaradah,split,الحياجي - الجراده,Al-Hayaji - Al-Jaradah,الجراده,Al-Jaradah,7,10
المزانده,Al-Mazanda,split,المزانده - الحجريه,Al-Mazanda - Al-Hajariya,المزانده,Al-Mazanda,8,10
الصنمه,Al-Sanmah,split,الصنمه - المسماره,Al-Sanmah - Al-Masmarah,الصنمه,Al-Sanmah,6,9
القديمة,Al-Qadima,split,الدوش - القديمة,Al-Doush - Al-Qadima,القديمة,Al-Qadima,7,9
السويهره,Al Suwayhira,split,السويهره - المعاين,Al Suwayhira - Al-muaeen,السويهره,Al Suwayhira,8,12
البليلي,Al-Balili,split,البليلي - مكان الحمير,Al-Balili - Makan Al-Hamir,البليلي,Al-Balili,7,9
المهجم الاعلى,Al-Mahjam Al-A'la,split,الحجيره - المهجم الاعلى,Al-Hujayrah - Al-Mahjam Al-A'la,المهجم الاعلى,Al-Mahjam Al-A'la,13,17
العارضه,Al-Ardah,split,العارضه - حصب الطير,Al-Ardah - Hasab Al-Tayr,العارضه,Al-Ardah,7,8
الحصب,Al-Hasab,split,الصنمه - الحصب,Al-Sanmah - Al-Hasab,الحصب,Al-Hasab,5,8
الكديحة,Al-Kadihah,split,الكديحة - الباقرية,Al-Kadihah - Al-Baqiriyah,الكديحة,Al-Kadihah,7,10
الضيجه,Al-Dhayjah,split,الضيجه - هيجة العكش,Al-Dhayjah - Hayjah Al-'Akash,الضيجه,Al-Dhayjah,6,10
الرواع,Al-Rawaa,split,الغيل - الرواع,Al-Ghayl - Al-Rawaa,الرواع,Al-Rawaa,6,8
السويهره,Al-Suwayhirah,split,السويهره - المطيري,Al-Suwayhirah - Al-Mutairi,السويهره,Al-Suwayhirah,8,13
الجبيه,al-Jubayyah,split,الجبيه - الكاحب,al-Jubayyah - al-Kahib,الجبيه,al-Jubayyah,6,11
الجرائب,Al-Jara'ib,split,الزغبري - الجرائب,Al-Zaghbari - Al-Jara'ib,الجرايب,Al-Jara'ib,7,10
شعب الفقيــه,Sha'ab al-Faqih,split,وادي سعاده - شعب الفقيــه,Wadi Sa'adah - Sha'ab al-Faqih,شعب الفقيه,Sha'ab al-Faqih,10,15
الشجنه,Al-Shajna,split,الغيل - الشجنه,Al-Ghayl - Al-Shajna,الشجنه,Al-Shajna,6,9
الموسنه,Al-Musinah,split,الموسنه - الحجفه,Al-Musinah - Al-Hajfah,الموسنه,Al-Musinah,7,10
الحجيره,Al-Hujayrah,split,الحجيره - المصافره,Al-Hujayrah - Al-Musafirah,الحجيره,Al-Hujayrah,7,11
رهبه,Rahbah,split,رهبه - الحصـــه,Rahbah - Al-Hassa,رهبه,Rahbah,4,6
الخراب,Al-Kharab,split,العارضه - الخراب,Al-'Arida - Al-Kharab,الخراب,Al-Kharab,6,9
الغبيل,Al-Ghabil,split,العفيرة - الغبيل,Al-Afirah - Al-Ghabil,الغبيل,Al-Ghabil,6,9
موزع,Mawza',split,موزع - عقلان,Mawza' - Aqlan,موزع,Mawza',4,6
الشعيب,Al-Shuaib,split,الشعيب - الجريـن,Al-Shuaib - Al-Jarin,الشعيب,Al-Shuaib,6,9
الصـويره - محروضــه,Al-Sawerah-Mahroudah,original,,,الصويره - محروضه,Al-Sawerah-Mahroudah,16,20
الاصيفية,Al-Asifiya,split,هداره - الاصيفية,Haddara - Al-Asifiya,الاصيفية,Al-Asifiya,8,10
الزهارى,Al-Zuhari,split,الزهارى - الحصحوص,Al-Zuhari - Al-Hasahus,الزهارى,Al-Zuhari,7,9
شعب القماعر,Sha'ab al-Qama'ir,split,وادي سعاده - شعب القماعر,Wadi Sa'adah - Sha'ab al-Qama'ir,شعب القماعر,Sha'ab al-Qama'ir,11,17
بني دريغم,Bani Drigham,split,بني دريغم - الحرف,Bani Drigham - Al-Harf,بني دريغم,Bani Drigham,9,12
بني حجاج,Bani Hajjaj,split,بني حجاج - الفناح,Bani Hajjaj - Al-Fanah,بني حجاج,Bani Hajjaj,8,11
حنه العليا,Hanna Al-Ulya,split,حنه العليا - القصعه,Hanna Al-Ulya - Al-Qas'a,حنه العليا,Hanna Al-Ulya,10,13
المحليه,Al-Mahaliyah,split,بني حجاج - المحليه,Bani Hajjaj - Al-Mahaliyah,المحليه,Al-Mahaliyah,7,12
الحييمة,Al-Haymah,split,الحييمة - عقبه,Al-Haymah - Aqabah,الحييمة,Al-Haymah,7,9
يعاقبه,Yaaqaba,split,يعاقبه - الميسعه,Yaaqaba - Al-Maysa’a,يعاقبه,Yaaqaba,6,7
وادي رين,Wadi Rin,split,الاتيمه - وادي رين,Al-Atima - Wadi Rin,وادي رين,Wadi Rin,8,8
المعطابه العليا,Al-Ma'tabah Al-Ulya,split,القشعه - المعطابه العليا,Al-Qash'ah - Al-Ma'tabah Al-Ulya,المعطابه العليا,Al-Ma'tabah Al-Ulya,15,19
القبقاب,al-Qabqab,split,نمره - القبقاب,Nimrah - al-Qabqab,القبقاب,al-Qabqab,7,9
عراصو,'Arasu,split,الغيل - عراصو,Al-Ghayl - 'Arasu,عراصو,'Arasu,5,6
المنيقد,Al-Munayqid,split,الغوبقه - المنيقد,Al-Ghubaqah - Al-Munayqid,المنيقد,Al-Munayqid,7,11
المبايض,Al-Mubayidh,split,وادي موثب - المبايض,Wadi Muthab - Al-Mubayidh,المبايض,Al-Mubayidh,7,11
الغرافي,Al-Gharrafi,split,الغرافي - الفاترة,Al-Gharrafi - Al-Fatira,الغرافي,Al-Gharrafi,7,11
جبل البعيصي,Jabal Al-Ba'isi,split,الحجافيه - جبل البعيصي,Al-Hajafiyah - Jabal Al-Ba'isi,جبل البعيصي,Jabal Al-Ba'isi,11,15
الكدحه,Al-Kadha,split,الكدحه - الوطن,Al-Kadha - Al-Watan,الكدحه,Al-Kadha,6,8
الغوبقه,Al-Ghubaqah,split,الغوبقه - الهندى,Al-Ghubaqah - Al-Hindi,الغوبقه,Al-Ghubaqah,7,11
الهبيبه,Al-Habibah,split,مقدم راس - الهبيبه,Muqaddam Ras - Al-Habibah,الهبيبه,Al-Habibah,7,10
المقيبره,Al-Maqibra,split,المغدر - المقيبره,Al-Maghdar - Al-Maqibra,المقيبره,Al-Maqibra,8,10
البرحه,Al-Barhah,split,بني علي - البرحه,Bani 'Ali - Al-Barhah,البرحه,Al-Barhah,6,9
العفيرة,Al-Afira,split,العفيرة - الابرحه,Al-Afira - Al-Abraha,العفيرة,Al-Afira,7,8
المزجاجه,Al-Muzajajah,split,بني علي - المزجاجه,Bani Ali - Al-Muzajajah,المزجاجه,Al-Muzajajah,8,12
نوبة القصيصى,Nawbat Al-Qasisi,split,الشاذلية - نوبة القصيصى,Al-Shadhiliyah - Nawbat Al-Qasisi,نوبة القصيصى,Nawbat Al-Qasisi,12,16
السقايه,Al-Saqaya,split,الكويحه - السقايه,Al-Kuwayhah - Al-Saqaya,السقايه,Al-Saqaya,7,9
القصعه,Al-Qas'a,split,حنه العليا - القصعه,Hanna Al-Ulya - Al-Qas'a,القصعه,Al-Qas'a,6,8
المبراع,Al-Mabra',split,الكويحه - المبراع,Al-Kuwayhah - Al-Mabra',المبراع,Al-Mabra',7,9
المقيصع,Al-Muqaysi',split,المقيصع - الشجيبة,Al-Muqaysi' - Al-Shujayba,المقيصع,Al-Muqaysi',7,11
حاضيه,Hadhiyah,split,حاضيه - حاضية,Hadhiyah - Hadhiyah,حاضيه,Hadhiyah,5,8
الحبوة الطويل,Al-Habwa Al-Tawil,split,وادي المعقم - الحبوة الطويل,Wadi Al-Mu'aqam - Al-Habwa Al-Tawil,الحبوة الطويل,Al-Habwa Al-Tawil,13,17
جبل قراد,Jabal Qarad,split,الحجافيه - جبل قراد,Al-Hajafiyah - Jabal Qarad,جبل قراد,Jabal Qarad,8,11
بني دريغم,Bani Drigham,split,بني دريغم - القاعده,Bani Drigham - Al-Qa'ida,بني دريغم,Bani Drigham,9,12
العشيرة,Al-Ashira,split,العشيرة - المتاهلين,Al-Ashira - Al-Mutahilin,العشيرة,Al-Ashira,7,9
المعامرة,Al-Ma'amara,split,المعامرة - الزبيرة,Al-Ma'amara - Al-Zubayra,المعامرة,Al-Ma'amara,8,11
حنه العليا,Hannah Al-Ulya,split,حنه العليا - الرويه السفلى,Hannah Al-Ulya - Al-Ruwayya Al-Sufla,حنه العليا,Hannah Al-Ulya,10,14
القشعه,Al-Qash'ah,split,القشعه - المعطابه العليا,Al-Qash'ah - Al-Ma'tabah Al-Ulya,القشعه,Al-Qash'ah,6,10
الكويحه,Al-Kuwayhah,split,الكويحه - اكمه الرماد,Al-Kuwayhah - Akmat Al-Ramad,الكويحه,Al-Kuwayhah,7,11
العريش,Al-Arish,split,العريش - الروقين,Al-Arish - Al-Ruqayn,العريش,Al-Arish,6,8
ذي البرع - القريـه,Thee Al-Bara-Al-Qaryah,original,,,ذي البرع - القريه,Thee Al-Bara-Al-Qaryah,17,22
الشطين,Al-Shattin,split,جعاشي - الشطين,Ja'ashi - Al-Shattin,الشطين,Al-Shattin,6,10
الحناني,Al-Hanani,split,بني حجاج - الحناني,Bani Hajjaj - Al-Hanani,الحناني,Al-Hanani,7,9
الفاحم,Al-Fahim,split,المزانده - الفاحم,Al-Mazanda - Al-Fahim,الفاحم,Al-Fahim,6,8
الشعوبه,Al-Shu'ubah,split,الشقيراء - الشعوبه,Al-Shuqayra - Al-Shu'ubah,الشعوبه,Al-Shu'ubah,7,11
السويداء,Al-Suwayda',split,السويداء - السكرنة,Al-Suwayda' - Al-Sukranah,السويداء,Al-Suwayda',8,11
الزهيرة,Al-Zuhaira,split,الزهيرة - المدينه السكنية,Al-Zuhaira - Residential City,الزهيرة,Al-Zuhaira,7,10
الشبارة,Al-Shabarah,split,الشبارة - الحصينه,Al-Shabarah - Al-Husaynah,الشبارة,Al-Shabarah,7,11
الطويله,Al-Tawilah,split,الطليله - الطويله,Al-Talilah - Al-Tawilah,الطويله,Al-Tawilah,7,10
الزغبري,Al-Zaghbari,split,الزغبري - المحرقى,Al-Zaghbari - Al-Mahraqi,الزغبري,Al-Zaghbari,7,11
الشقيراء,Al-Shuqayra,split,الشقيراء - حصيب المشاهره,Al-Shuqayra - Hasib Al-Mashahirah,الشقيراء,Al-Shuqayra,8,11
ضبيره,Dhabirah,split,بني علي - ضبيره,Bani Ali - Dhabirah,ضبيره,Dhabirah,5,8
الشقيراء,Al-Shaqira',split,الشقيراء - الملاحيه,Al-Shaqira' - Al-Malahiya,الشقيراء,Al-Shaqira',8,11
الحييمة,Al-Haymah,split,الحييمة - المبياضه,Al-Haymah - Al-Mubayadah,الحييمة,Al-Haymah,7,9
بيت الصوفي,Bayt al-Sufi,split,بني عامر - بيت الصوفي,Bani Amer - Bayt al-Sufi,بيت الصوفي,Bayt al-Sufi,10,12
العامره,Al-Amirah,split,بني دريغم - العامره,Bani Durayghim - Al-Amirah,العامره,Al-Amirah,7,9
عقمات,'Aqamat,split,الركز - عقمات,al-Rukz - 'Aqamat,عقمات,'Aqamat,5,7
النجد الاعلى,Al-Najd Al-A'la,split,المزانده - النجد الاعلى,Al-Mazanda - Al-Najd Al-A'la,النجد الاعلى,Al-Najd Al-A'la,12,15
يختل,Yakhtal,original,,,يختل,Yakhtal,4,7
جحزر,Jahzar,split,جحزر - الشطين,Jahzar - al-Shattin,جحزر,Jahzar,4,6
الحوجب,Al-Hawjab,split,الكدمه - الحوجب,Al-Kadmah - Al-Hawjab,الحوجب,Al-Hawjab,6,9
الجروبة,Al-Jarouba,split,الجروبة - الصويلح,Al-Jarouba - Al-Suwailih,الجروبة,Al-Jarouba,7,10
موزع,Mawza',split,موزع - اليمينه,Mawza' - Al-Yaminah,موزع,Mawza',4,6
الخيفه,Al-Khaifah,split,مقدم راس - الخيفه,Muqaddam Ras - Al-Khaifah,الخيفه,Al-Khaifah,6,10
طرة الجعيره,Tarrah Al-Ja'irah,split,الغريف - طرة الجعيره,Al-Gharif - Tarrah Al-Ja'irah,طرة الجعيره,Tarrah Al-Ja'irah,11,17
المثعوب,Al-Math'ub,split,النوازل - المثعوب,Al-Nawazil - Al-Math'ub,المثعوب,Al-Math'ub,7,10
الحريقيه,Al-Hariqiya,split,الحريقيه - قروش,Al-Hariqiya - Qurosh,الحريقيه,Al-Hariqiya,8,11
مبتعه,Mubta'a,split,مبتعه - الوقف,Mubta'a - Al-Waqf,مبتعه,Mubta'a,5,7
وادي مكسب,Wadi Makasab,split,وادي مكسب - شعبه الغيل,Wadi Makasab - Sha'bat Al-Ghayl,وادي مكسب,Wadi Makasab,9,12
العريش,Al-Arish,split,العريش - المنقد,Al-Arish - Al-Munqad,العريش,Al-Arish,6,8
المقره,Al-Muqrah,split,القشعه - المقره,Al-Qash'ah - Al-Muqrah,المقره,Al-Muqrah,6,9
الحبوه السوداء,Al-Habwah Al-Sawda',split,الشقيراء - الحبوه السوداء,Al-Shuqayra - Al-Habwah Al-Sawda',الحبوه السوداء,Al-Habwah Al-Sawda',14,19
الحجج,Al-Hujaj,split,الحجج - جرجوح,Al-Hujaj - Jarjuh,الحجج,Al-Hujaj,5,8
المقاهي,Al-Maqahi,split,شعبو - المقاهي,Sha'bu - Al-Maqahi,المقاهي,Al-Maqahi,7,9
الزريبه,Al-Zaribah,original,,,الزريبه,Al-Zaribah,7,10
جبل النار,Jabal Al-Nar,split,الجريب - جبل النار,Al-Jarib - Jabal Al-Nar,جبل النار,Jabal Al-Nar,9,12
الركيبه,Al-Rukaybah,split,المقلب - الركيبه,Al-Maqlab - Al-Rukaybah,الركيبه,Al-Rukaybah,7,11
الحنكه,Al-Hanakah,split,مقدم راس - الحنكه,Muqaddam Ras - Al-Hanakah,الحنكه,Al-Hanakah,6,10
الكاذيه,Al-Kadhiyah,split,العريش - الكاذيه,Al-Arish - Al-Kadhiyah,الكاذيه,Al-Kadhiyah,7,11
الزغبري,Al-Zaghbari,split,الزغبري - المزاينة,Al-Zaghbari - Al-Mazayna,الزغبري,Al-Zaghbari,7,11
موزع,Mawza',split,موزع - الحرز,Mawza' - Al-Harz,موزع,Mawza',4,6
الحييمة,Al-Haymah,split,الحييمة - هوب مجلي,Al-Haymah - Hub Majli,الحييمة,Al-Haymah,7,9
شباعة,Shaba'ah,split,يفرس - شباعة,Yafrus - Shaba'ah,شباعة,Shaba'ah,5,8
الدوار,Al-Dawar,split,الشبارة - الدوار,Al-Shabarah - Al-Dawar,الدوار,Al-Dawar,6,8
القمبرية,Al-Qambariyah,split,القمبرية - البرحه,Al-Qambariyah - Al-Barhah,القمبرية,Al-Qambariyah,8,13
جرات,Jarat,split,بني دريغم - جرات,Bani Drigham - Jarat,جرات,Jarat,4,5
هيجة النقيل,Hayjat An-Naqil,split,النشيفه - هيجة النقيل,An-Nashifa - Hayjat An-Naqil,هيجة النقيل,Hayjat An-Naqil,11,15
مبتعه,Mubta'a,split,مبتعه - الكهاديد,Mubta'a - Al-Kahadid,مبتعه,Mubta'a,5,7
العقمه,Al-Aqmah,split,العقمه - المريريه,Al-Aqmah - Al-Murairiyah,العقمه,Al-Aqmah,6,8
العريش,Al-Arish,split,العريش - الضويحه,Al-Arish - Al-Dhuwayhah,العريش,Al-Arish,6,8
الوحيز,Al-Wahiz,split,الوحيز - العيينه,Al-Wahiz - Al-'Ayna,الوحيز,Al-Wahiz,6,8
المقالد,Al-Maqalid,split,الكدمه - المقالد,Al-Kadmah - Al-Maqalid,المقالد,Al-Maqalid,7,10
الكويحه,Al-Kuwayhah,split,الكويحه - الداهره,Al-Kuwayhah - Al-Dahira,الكويحه,Al-Kuwayhah,7,11
الطوير,Al-Tuwair,split,الطوير - حليصه,Al-Tuwair - Halisah,الطوير,Al-Tuwair,6,9
بني عامر,Bani Amer,split,بني عامر - شعب الاشول,Bani Amer - Sha'b al-Ashwal,بني عامر,Bani Amer,8,9
ضبيره,Dhabira,split,العارضه - ضبيره,Al-'Arida - Dhabira,ضبيره,Dhabira,5,7
بني حجاج,Bani Hajjaj,split,بني حجاج - الحناني,Bani Hajjaj - Al-Hanani,بني حجاج,Bani Hajjaj,8,11
المجارب,Al-Majarib,split,الغيل - المجارب,Al-Ghayl - Al-Majarib,المجارب,Al-Majarib,7,10
الشقيراء,Al-Shuqayra,split,الشقيراء - الرهيطه السفلى,Al-Shuqayra - Al-Rahitah Al-Sufla,الشقيراء,Al-Shuqayra,8,11
حسىالحافى,Hassi Al-Hafi,split,الكديحة - حسىالحافى,Al-Kadihah - Hassi Al-Hafi,حسىالحافى,Hassi Al-Hafi,9,13
جبل الحكيمه,Jabal al-Hakimah,split,جبل الحكيمه - المعاقد,Jabal al-Hakimah - al-Ma'aqid,جبل الحكيمه,Jabal al-Hakimah,11,16
بني علي,Bani Ali,split,بني علي - المناخ,Bani Ali - Al-Manakh,بني علي,Bani Ali,7,8
الذنبه,Al-Dhanbah,split,الذنبه - نعمان,Al-Dhanbah - Nu'man,الذنبه,Al-Dhanbah,6,10
قرى الحاج,Qura Al-Hajj,split,الكدمه - قرى الحاج,Al-Kadmah - Qura Al-Hajj,قرى الحاج,Qura Al-Hajj,9,12
قواح,Qawah,split,البليلي - قواح,Al-Balili - Qawah,قواح,Qawah,4,5
القشعه,Al-Qash'ah,split,القشعه - شعب الرصد,Al-Qash'ah - Sha'b Al-Rasd,القشعه,Al-Qash'ah,6,10
القرف الاعلى,Al-Qarf Al-A'la,split,القطنه - القرف الاعلى,Al-Qatna - Al-Qarf Al-A'la,القرف الاعلى,Al-Qarf Al-A'la,12,15
الاعصره,Al-A'sarah,split,القحيزه - الاعصره,Al-Qahizah - Al-A'sarah,الاعصره,Al-A'sarah,7,10
الميناء,Al-Mina',split,المخاء - الميناء,Al-Mukha - Al-Mina',الميناء,Al-Mina',7,8
القحفه,Al-Qahfah,split,القحفه - الطريره,Al-Qahfah - Al-Tarirah,القحفه,Al-Qahfah,6,9
الحد,Al-Had,split,الحد - القحقاح,Al-Had - Al-Qahqah,الحد,Al-Had,4,6
الازيود,Al-Azyoud,split,الازيود - المعاقم,Al-Azyoud - Al-Ma'aqim,الازيود,Al-Azyoud,7,9
النوازل,Al-Nawazil,split,النوازل - النقيل,Al-Nawazil - Al-Naqil,النوازل,Al-Nawazil,7,10
العواس,Al-Awas,split,الدوش - العواس,Al-Doush - Al-Awas,العواس,Al-Awas,6,7
الضيجه,Ad-Dhayjah,split,الضيجه - الشقتين,Ad-Dhayjah - Ash-Shuqatayn,الضيجه,Ad-Dhayjah,6,10
بني الحكم,Bani Al-Hakam,split,بني الحكم - الكهرباء,Bani Al-Hakam - Al-Kahraba,بني الحكم,Bani Al-Hakam,9,13
يختل,Yakhtal,split,يختل - حسى الصوفى,Yakhtal - Hassi Al-Sufi,يختل,Yakhtal,4,7
العريش,Al-Arish,split,العريش - الدراغمه,Al-Arish - Al-Daraghmah,العريش,Al-Arish,6,8
المهريق,Al-Mahriq,split,الردف - المهريق,Al-Radf - Al-Mahriq,المهريق,Al-Mahriq,7,9
المعامرة,Al-Ma'amrah,split,المعامرة - الحفيظة,Al-Ma'amrah - Al-Hafizah,المعامرة,Al-Ma'amrah,8,11
الضيجه,Ad-Dhayjah,split,الضيجه - عراكبه,Ad-Dhayjah - 'Arakbah,الضيجه,Ad-Dhayjah,6,10
العقمه,Al-Aqmah,split,العقمه - المغلاء,Al-Aqmah - Al-Maghla,العقمه,Al-Aqmah,6,8
الملعب الاعلى,Al-Mal'ab Al-A'la,split,النوازل - الملعب الاعلى,Al-Nawazil - Al-Mal'ab Al-A'la,الملعب الاعلى,Al-Mal'ab Al-A'la,13,17
المقيصع,Al-Muqaysi',split,المقيصع - الغوشه,Al-Muqaysi' - Al-Ghusha,المقيصع,Al-Muqaysi',7,11
بوميه,Bumiya,split,بوميه - الكربه,Bumiya - Al-Karba,بوميه,Bumiya,5,6
الحرف,Al-Harf,split,بني دريغم - الحرف,Bani Drigham - Al-Harf,الحرف,Al-Harf,5,7
الاهواب,al-Ahwab,split,بني عامر - الاهواب,Bani Amer - al-Ahwab,الاهواب,al-Ahwab,7,8
المشعارالاعلى,al-Mish'ar al-A'la,split,وادي سعاده - المشعارالاعلى,Wadi Sa'adah - al-Mish'ar al-A'la,المشعارالاعلى,al-Mish'ar al-A'la,13,18
حاضيه,Hadhiyah,split,حاضيه - البطنة,Hadhiyah - Al-Batnah,حاضيه,Hadhiyah,5,8
نمره,Nimrah,split,نمره - كحاح,Nimrah - Kahah,نمره,Nimrah,4,6
الذنبة,Al-Dhanba,split,المعامرة - الذنبة,Al-Ma'amara - Al-Dhanba,الذنبة,Al-Dhanba,6,9
الشعيب,Al-Shuaib,split,الغيل - الشعيب,Al-Ghayl - Al-Shuaib,الشعيب,Al-Shuaib,6,9
حسى الحراز,Hasi Al-Haraz,split,الموسنه - حسى الحراز,Al-Musinah - Hasi Al-Haraz,حسى الحراز,Hasi Al-Haraz,10,13
