input_skeleton,output_english
AlJrwbh,Al-Jarubah
Aldrbnh,Al-Darbana
Alshqyra',Al-Shuqayra
Almwbrh,Al-Mawbarah
Alm'amrh,Al-Ma'amara
bny dryghm,Bani Drigham
AlJlyfyh,Al-Jalifiya
Alshnh,Al-sihnah
Alghyl,Al-Ghayl
qbh alfqyh,Qubbat Al-Faqih
Almbdhl,Al-Mabdhil
Almlahyh,Al-Malahiya
bny hJaJ,Bani Hajjaj
AllJy'h al'lya,Al-Laji'ah Al-Ulya
Almqlb,Al-Maqlab
Alkwyhh,Al-Kuwayhah
ghyl alhadnh,Ghayl Al-Hadina
Almrtf'at,Al-Murtafa'at
Alnwazl,Al-Nawazil
dha al'bar,Tha Al-Abar
Al'qmh,Al-Aqmah
Alkhnhh,Al-Khanah
Alsnmh,Al-Sanamah
AlhyaJy,Al-Hayaji
mbt'h,Mubta'a
rda'  alqhfh,Rada-Al Qahfah
Alm'lm,Al-Mu'allim
shrh,Sharh
sdwh,Suduh
thwab,Thawab
'ynan,'Aynan
Alsblh,Al-Sabla
dar Jyhlan,Dar Jihlan
Alakmh,Al-Akma
Al'qbh,Al-Aqaba
Almshrah,Al-Mashrah
shbyh,Shabih
mwz',Mawza'
Alrakbh,Al-rakbah
AlmqTrn,Al-Muqatran
AlJrshyh,al-Jarshiyyah
mbt'h,Mabta'ah
khranh,Kharanah
Alm'srh,Al-Ma'sara
Alsh'wr,Al-Shu'ur
Alnshh,Al-Nashah
AlqTyn,AL-Qateen
bny mlyk,Bani Malik
AlbaTn,Al-Batin
Alzwayd,Az-Zawa'id
Alswfh,Al-Sufah
wady s'adh,Wadi Sa'adah
wady bkyr,Wadi Bakir
Alrwqyn,Al-Ruqayn
b'yll,Ba'ilal
Al'qydh alsfla,Al-'Aqidah Al-Sufla
bwmyh,Bumiya
Alsb'h,Al-Sab’a
dhy 'yan,Dhi Ayan
bny alhkm,Bani Al-Hakam
Al'ardh,Al-Ardah
hnh al'lya,Hannah Al-Ulya
Alzydyh,Al-Zaidiyah
Aldar,Al-Dar
Alrdf,Al-Radf
Al'shh,Al-'Ash'ah
Alshykh,Al-Shaykh
Alshbarh,Al-Shabara
Jbl 'ka,Jabal Aka
Alakmh,Al-Akma
Al'bdly,Al-Abdali
dhy alJnan,Dhi al-Jinan
AlhJrh,Al-Hajra
hsy salm,Hassi Salem
hsb alhykl,Hasab al-Haykal
AlqTnh,Al-Qatna
hsyb alqwbh,Hasib Al-Qubbah
Alsqayh,al-Saqaya
Almhwr,Al-Mahwar
AlhyaJy,Al-Hayaji
Almqsab,Al-Maqsab
dhakhshh,Dhakhshah
Alqshsh,Al-Qashsh
Alghyl,Al-Ghayl
Jsr rsyan,Rasian Bridge
Almkha',Al-Mukha
Jhzr,Jahzar
Alm'Tab alasfl,Al-Ma'tab Al-Asfal
y'aqbh,Yaaqaba
AlmqaTrh,Al-Muqatira
dar 'wd zyd,Dar Awad Zaid
wady alshT,Wadi al-Shatt
mwz',Mawza'
Al'ardh,Al-Ardah
qrfs,Qarfas
Alshwkh,al-Shawkah
Alsmasm,Al-Samasim
'wdh,Awda
Alkwyhh,Al-Kuwayhah
Alnwazl,Al-Nawazil
Alrdf,Al-Radf
Albrah,Al-Barah
Alm'rd,Al-Ma'rad
AlTwyr,Al-Tuwair
Alzghbry,Al-Zaghbari
AlmhTh albkharyh,Steam Station
AlbThh,Al-Bat'hah
Almwsnh,Al-Musinah
Jbl alhkymh,Jabal Al-Hakimah
yfrs,Yafrus
Alsfa,Al-Safa
Al'tah,Al-'Ata
bny 'amr,Bani Amer
wady alm'qm,Wadi Al-Mu'aqam
sh'bw,Sha'bu
bny mlyk,Bani Malik
dar alra'y,Dar Al-Ra'i
Jbl alhkymh,Jabal al-Hakimah
Alhfyrh,Al-Hafira
hsb aswd,Hasab Aswad
Alsfalyh,Al-Safaliyah
AlqTyn,AL-Qateen
Almzq,Al-Muzq
Almydan,Al-Midan
Alblyly,Al-Balili
Al'qydh al'lya,Al-'Aqidah Al-'Ulya
Alm'srh,Al-Ma'sara
Alrwhh,Al-Rawha
Alqnzyh,Al-Qanziyah
Almqys',Al-Muqaysi'
Alhfydhh,Al-Hafizah
Jzyrh alzyady,Jazirat Al-Ziyadi
dar al'nba,Dar Al-'Anabi
sfa'alhbyl,Safaa Al-Habil
Albhyshh,Al-Bahisha
wady bkyr,Wadi Bakir
Alkwyhh,Al-Kuwayhah
Al'kdh,Al-Akda
Alswyrh  alhwb,Al-Sawerah-Al-Hwb
byt alhrazy,Bayt al-Harazi
Alshqyra',Al-Shaqira'
nwbh almkhshb,Nawbat Al-Mukhshab
Alghwl,Al-Ghul
Alsnd,al-Sind
Alqhyzh,al-Qahizah
Almaqbh,Al-Maqbah
bny dryghm,Bani Durayghim
'zan,'Azan
Almkha',Al-Mukha
dwryn,Dhurin
Alhsyb,Al-Hasib
bny dryghm,Bani Drigham
Alrwnh,Al-Rawna
Almhalb,Al-Mahalib
Aldwsh,Al-Doush
wady alm'qm,Wadi Al-Mu'aqam
Alshadhly,Al-Shadhili
Al'kdh,Al-Akdah
Alhql,Al-Haqal
Alsnmh,Al-Sunmah
Alblyly,Al-Balili
Alsyal,Al-Sayyal
Jhzr,Jahzar
Alsh'yb,Al-Shuaib
Alhbwh,Al-Habwa
Alkhylh,Al-Kahilah
Alatymh,Al-Atima
Alrkz,al-Rukz
Almlaqy,Al-Mulaqi
Alghrafy,Al-Gharrafi
hJm,Hajam
hark alnwbh,Harik Al-Nawbah
Alswq,Al-Souq
AlqTnh,Al-Qatna
Aldwsh,Al-Doush
Almqys',Al-Muqaysi'
sh'b shqyr,Sha'ab Shuqayr
hadyh,Hadhiyah
shJyrh,Shujayrah
Almrh alsfla,Al-Murra Al-Sufla
Alhsham,Al-Hasham
Almntsr,Al-Muntasir
Alhdd,Al-Haddad
Alzbyrh,Al-Zubayra
mqdm ras,Muqaddam Ras
wada 'ly,Wadi Ali
Al'rmh,Al-Armah
AlJwyh,al-Juwayh
Alshqyra',Al-Shaqira'
Alswyhrh,Al Suwayhira
Aldahh,Al-Dahha
Alrkz,al-Rukz
Al'ardh,Al-'Arida
Alhsynh,Al-Husaynah
Alrqa'yh,Al-Ruqa'iya
wady albyr,Wadi Al-Bir
bny hJaJ,Bani Hajjaj
AlJrybh,Al-Juraybah
Alsh'wb,Al-Shueub
hsy salm,Hassi Salem
hsyb almhwq,Hasib Al-Mahouq
sh'b alsna',Sha'b al-Sina'
wahJh,Wahja
yfrs,Yafrus
Alhd,Al-Had
Al'was,Al-Awas
Al'fh,Al-Afa
AlJbal,Al-Jibal
AlTwr,Al-Tur
Alhamly,Al-Hamli
sh'bh harbh,Sha'bat Harbah
AlJwarf,Al-Jawarif
Almwsnh,Al-Musinah
Almqlb,Al-Maqlab
bny dryghm,Bani Drigham
Alzryrh,Al-Zarirah
Alqryh alsfla,Al-Qarya Al-Sufla
AlhJyrh,Al-Hujayrah
dhy alnyt,Dhi al-Nit
Alsnmh,Al-Sunmah
Aldwsh,Al-Doush
Almghrbh al'lya,al-Maghriba al-'Ulya
Almqlb,Al-Maqlab
yfrs,Yafrus
bny 'amr,Bani Amer
hsb almqTar,Hasab Al-Muqtar
AlTwyr,Al-Tuwair
Alrwyh al'lya,Al-Ruwayya Al-Ulya
Alshbyqat,Al-Shabiqat
Al'bdl,Al-Abdal
AldyJh,Al-Dhayjah
Alqhfh,Al-Qahfa
Alsahly,Al-Sahili
sh'b 'wad,Sha'b 'Awadh
Alsfydh,Al-Safida
AlJam',Al-Jami'
dhy albr'  qhfh smy',Thee Al-Bara-Qahfat Samee'
Alqhyzh,Al-Qahizah
wady alahmr,Wadi Al-Ahmar
Alnwazl,Al-Nawazil
bny hJaJ,Bani Hajjaj
Alkdyhh,Al-Kadihah
AlJbat,al-Jubbat
Alkwry,Al-Kuri
Alzhyrh,Al-Zuhaira
wady albyr,Wadi Al-Bir
Alshbarh,Al-Shabara
Althwbany,Al-Thawbani
Alsyrh,Al-Sirah
Alqwasmh,Al-Qawasima
wahJh,Wahjah
Almlaqy,Al-Mulaqi
yfrs,Yafrus
bharh,Bahara
AlrJhh,Al-Rajhah
Alfwshh,al-Fawshah
Al'ardh,Al-'Arida
shbyh,Shabih
Almhaklh,Al-Mahaklah
AlJwm,Al-Jawm
hnh alsfla,Hannah Al-Sufla
Alaqhf,Al-Aqhaf
Alrd',Al-Rad'
AlmhJr,Al-Mahjar
hnh alsfla,Hannah Al-Sufla
bny mlyk,Bani Malik
Aldryb,Al-Dharib
Alrdf,Al-Radf
mqdm ras,Muqaddam Ras
Ala'qas,Al-Aqas
Alhrf,Al-Harf
Alswyhrh,Al Suwayhira
Almhrqh,Al-Muharraqah
Alswyhrh,Al-Suwayhirah
Almkhyshyqh,Al-Makhishiqah
Alm'srh,Al-Ma'sara
Alsnmh,Al-Sunmah
brh alsyd,Barh Al-Sayyid
'sq,Asaq
Alblyly,Al-Balili
hsb alsyary,Hasab Al-Sayyari
Alhd,Al-Had
mwz',Mawza'
AlrbaT,Al-Ribat
Alsabryh,Al-Sabriya
Almnawb,Al-Munawwab
Alqahrh,Al-Qahirah
Alsnmh,Al-Sanmah
bny dryghm,Bani Drigham
bwmyh,Bumiya
Alfash,Al-Fasah
Alzghbry,Al-Zaghbari
swq alhr,Suq Al-Hur
AlmJahsh,Al-Majahish
Alghrafy,Al-Gharrafi
Alkdmh,Al-Kadmah
AlqTnh,Al-Qatna
wady albyr,Wadi Al-Bir
AlqTnh,Al-Qatna
Alhnqwb,Al-Hanqoub
mkan alhmyr,Makan Al-Hamir
Alhsb,Al-Hasab
AlJhafy,Al-Jahafi
AlmTrh,Al-Matrah
Alghwbqh,Al-Ghubaqah
hwl alswq,Hawl Al-Souq
Almhawy,Al-Mahawi
Alm'amrh,Al-Ma'amrah
Alnwazl,Al-Nawazil
rda'  alqryh,Rada-Al-Qaryah
Alznh,Al-Zanh
AlTwyr,Al-Tuwayr
AlnJyd,Al-Najid
Aldrwbh,Al-Dharubah
Aladrws,Al-Adrous
bny hJaJ,Bani Hajjaj
brh al'dnh,Barh Al-'Adnah
Alshqyra',Al-Shuqayra
AlJshym,Al-Jashim
Alkrbh,Al-Karbah
wady alahmr,Wadi Al-Ahmar
AlmaJlyh,Al-Majliya
Alshrkh,Al-Sharikh
Almqsw',Al-Maqsou’
Alkrbh,Al-Karbah
Al'awh,al-'Awah
Alzmakrh,Al-Zamakrah
Almhaml,Al-Mahamil
Almswadh,Al-Maswadah
Al'qmh,Al-Aqmah
Alqbh,Al-Qubba
bny dryghm,Bani Drigham
bny mlyk,Bani Malik
Alzhara,Al-Zuhari
byt alhyqy,Bayt Al-Hayqi
